name,jp name,id number,job,slot,Unique,VI melds,V melds,ilvl,pWD,mWD,main stat,Meld cap,Determination,Critical Hit,Skill Speed,Spell Speed,Piety,Tenacity,Direct Hit Rate
dai-ryumyaku jufuku of maiming,大龍脈戎服【槍士】,21422,LNC DRG,4,1,2,0,370,0,0,322,289,0,289,0,0,0,0,202
pair of dai-ryumyaku kote of maiming,大龍脈籠手【槍士】,21423,LNC DRG,5,1,2,0,370,0,0,198,178,0,0,125,0,0,0,178
dai-ryumyaku tsutsu-hakama of maiming,大龍脈筒袴【槍士】,21424,LNC DRG,7,1,2,0,370,0,0,322,289,0,202,289,0,0,0,0
pair of dai-ryumyaku sune-ate of maiming,大龍脈脛当【槍士】,21425,LNC DRG,8,1,2,0,370,0,0,198,178,125,0,178,0,0,0,0
dai-ryumyaku obi of maiming,大龍脈帯【槍士】,21426,LNC DRG,6,1,1,0,370,0,0,149,133,133,0,93,0,0,0,0
dai-ryumyaku hachigane of striking,大龍脈鉢金【拳士】,21427,PGL MNK SAM,3,1,2,0,370,0,0,198,178,0,0,125,0,0,0,178
dai-ryumyaku togi of striking,大龍脈闘着【拳士】,21428,PGL MNK SAM,4,1,2,0,370,0,0,322,289,202,0,289,0,0,0,0
pair of dai-ryumyaku kote of striking,大龍脈籠手【拳士】,21429,PGL MNK SAM,5,1,2,0,370,0,0,198,178,178,0,125,0,0,0,0
dai-ryumyaku tsutsu-hakama of striking,大龍脈筒袴【拳士】,21430,PGL MNK SAM,7,1,2,0,370,0,0,322,289,202,289,0,0,0,0,0
pair of dai-ryumyaku sune-ate of striking,大龍脈脛当【拳士】,21431,PGL MNK SAM,8,1,2,0,370,0,0,198,178,0,0,178,0,0,0,125
dai-ryumyaku obi of striking,大龍脈帯【拳士】,21432,PGL MNK SAM,6,1,1,0,370,0,0,149,133,0,133,0,0,0,0,93
dai-ryumyaku hachigane of aiming,大龍脈鉢金【弓士】,21433,ARC BRD MCH,3,1,2,0,370,0,0,198,178,178,0,0,0,0,0,125
dai-ryumyaku jufuku of aiming,大龍脈戎服【弓士】,21434,ARC BRD MCH,4,1,2,0,370,0,0,322,289,202,0,289,0,0,0,0
pair of dai-ryumyaku kote of aiming,大龍脈籠手【弓士】,21435,ARC BRD MCH,5,1,2,0,370,0,0,198,178,125,178,0,0,0,0,0
dai-ryumyaku jui of aiming,大龍脈戎衣【弓士】,21436,ARC BRD MCH,7,1,2,0,370,0,0,322,289,0,202,0,0,0,0,289
pair of dai-ryumyaku sune-ate of aiming,大龍脈脛当【弓士】,21437,ARC BRD MCH,8,1,2,0,370,0,0,198,178,0,178,125,0,0,0,0
dai-ryumyaku obi of aiming,大龍脈帯【弓士】,21438,ARC BRD MCH,6,1,1,0,370,0,0,149,133,0,93,133,0,0,0,0
dai-ryumyaku hachigane of scouting,大龍脈鉢金【間士】,21439,ROG NIN,3,1,2,0,370,0,0,198,178,0,0,178,0,0,0,125
dai-ryumyaku togi of scouting,大龍脈闘着【間士】,21440,ROG NIN,4,1,2,0,370,0,0,322,289,202,289,0,0,0,0,0
pair of dai-ryumyaku kote of scouting,大龍脈籠手【間士】,21441,ROG NIN,5,1,2,0,370,0,0,198,178,0,125,0,0,0,0,178
dai-ryumyaku tsutsu-hakama of scouting,大龍脈筒袴【間士】,21442,ROG NIN,7,1,2,0,370,0,0,322,289,202,0,289,0,0,0,0
pair of dai-ryumyaku sune-ate of scouting,大龍脈脛当【間士】,21443,ROG NIN,8,1,2,0,370,0,0,198,178,178,0,0,0,0,0,125
dai-ryumyaku obi of scouting,大龍脈帯【間士】,21444,ROG NIN,6,1,1,0,370,0,0,149,133,0,93,133,0,0,0,0
dai-ryumyaku hitai-ate of healing,大龍脈額当【学士】,21445,CNJ WHM SCH AST,3,1,2,0,370,0,0,198,178,125,178,0,0,0,0,0
dai-ryumyaku dogi of healing,大龍脈道着【学士】,21446,CNJ WHM SCH AST,4,1,2,0,370,0,0,322,289,289,0,0,0,202,0,0
pair of dai-ryumyaku kote of healing,大龍脈手甲【学士】,21447,CNJ WHM SCH AST,5,1,2,0,370,0,0,198,178,0,125,0,0,178,0,0
dai-ryumyaku tsutsu-hakama of healing,大龍脈筒袴【学士】,21448,CNJ WHM SCH AST,7,1,2,0,370,0,0,322,289,202,0,0,289,0,0,0
pair of dai-ryumyaku choka of healing,大龍脈長靴【学士】,21449,CNJ WHM SCH AST,8,1,2,0,370,0,0,198,178,0,178,0,0,125,0,0
dai-ryumyaku obi of healing,大龍脈帯【学士】,21450,CNJ WHM SCH AST,6,1,1,0,370,0,0,149,133,0,133,0,93,0,0,0
dai-ryumyaku seibo of casting,大龍脈制帽【術士】,21451,THM ACN BLM SMN RDM,3,1,2,0,370,0,0,198,178,0,0,0,178,0,0,125
dai-ryumyaku dogi of casting,大龍脈道着【術士】,21452,THM ACN BLM SMN RDM,4,1,2,0,370,0,0,322,289,289,0,0,202,0,0,0
pair of dai-ryumyaku kote of casting,大龍脈手甲【術士】,21453,THM ACN BLM SMN RDM,5,1,2,0,370,0,0,198,178,125,178,0,0,0,0,0
dai-ryumyaku tsutsu-hakama of casting,大龍脈筒袴【術士】,21454,THM ACN BLM SMN RDM,7,1,2,0,370,0,0,322,289,0,202,0,0,0,0,289
pair of dai-ryumyaku choka of casting,大龍脈長靴【術士】,21455,THM ACN BLM SMN RDM,8,1,2,0,370,0,0,198,178,178,0,0,0,0,0,125
dai-ryumyaku obi of casting,大龍脈帯【術士】,21456,THM ACN BLM SMN RDM,6,1,1,0,370,0,0,149,133,133,0,0,0,0,0,93
dai-ryumyaku earring of fending,大龍脈耳飾【武士】,21457,GLA MRD PLD WAR DRK,9,1,1,0,370,0,0,44,133,0,133,93,0,0,0,0
dai-ryumyaku earring of slaying,大龍脈耳飾【闘士】,21458,PGL LNC MNK DRG SAM,9,1,1,0,370,0,0,149,133,93,133,0,0,0,0,0
dai-ryumyaku earring of aiming,大龍脈耳飾【弓士】,21459,ARC ROG BRD NIN MCH,9,1,1,0,370,0,0,149,133,0,133,93,0,0,0,0
dai-ryumyaku earring of healing,大龍脈耳飾【学士】,21460,CNJ WHM SCH AST,9,1,1,0,370,0,0,149,133,0,93,0,133,0,0,0
dai-ryumyaku earring of casting,大龍脈耳飾【術士】,21461,THM ACN BLM SMN RDM,9,1,1,0,370,0,0,149,133,0,133,0,93,0,0,0
dai-ryumyaku necklace of fending,大龍脈首飾【武士】,21462,GLA MRD PLD WAR DRK,10,1,1,0,370,0,0,44,133,133,93,0,0,0,0,0
dai-ryumyaku necklace of slaying,大龍脈首飾【闘士】,21463,PGL LNC MNK DRG SAM,10,1,1,0,370,0,0,149,133,133,93,0,0,0,0,0
dai-ryumyaku necklace of aiming,大龍脈首飾【弓士】,21464,ARC ROG BRD NIN MCH,10,1,1,0,370,0,0,149,133,0,0,133,0,0,0,93
dai-ryumyaku necklace of healing,大龍脈首飾【学士】,21465,CNJ WHM SCH AST,10,1,1,0,370,0,0,149,133,93,133,0,0,0,0,0
dai-ryumyaku necklace of casting,大龍脈首飾【術士】,21466,THM ACN BLM SMN RDM,10,1,1,0,370,0,0,149,133,133,0,0,0,0,0,93
dai-ryumyaku bracelet of fending,大龍脈数珠【武士】,21467,GLA MRD PLD WAR DRK,11,1,1,0,370,0,0,44,133,0,0,133,0,0,93,0
dai-ryumyaku bracelet of slaying,大龍脈数珠【闘士】,21468,PGL LNC MNK DRG SAM,11,1,1,0,370,0,0,149,133,0,93,133,0,0,0,0
dai-ryumyaku bracelet of aiming,大龍脈数珠【弓士】,21469,ARC ROG BRD NIN MCH,11,1,1,0,370,0,0,149,133,133,0,0,0,0,0,93
dai-ryumyaku bracelet of healing,大龍脈数珠【学士】,21470,CNJ WHM SCH AST,11,1,1,0,370,0,0,149,133,0,0,0,93,133,0,0
dai-ryumyaku bracelet of casting,大龍脈数珠【術士】,21471,THM ACN BLM SMN RDM,11,1,1,0,370,0,0,149,133,0,93,0,133,0,0,0
dai-ryumyaku ring of fending,大龍脈指輪【武士】,21472,GLA MRD PLD WAR DRK,12,1,1,0,370,0,0,44,133,93,0,133,0,0,0,0
dai-ryumyaku ring of slaying,大龍脈指輪【闘士】,21473,PGL LNC MNK DRG SAM,12,1,1,0,370,0,0,149,133,133,0,93,0,0,0,0
dai-ryumyaku ring of aiming,大龍脈指輪【弓士】,21474,ARC ROG BRD NIN MCH,12,1,1,0,370,0,0,149,133,0,133,93,0,0,0,0
dai-ryumyaku ring of healing,大龍脈指輪【学士】,21475,CNJ WHM SCH AST,12,1,1,0,370,0,0,149,133,133,0,0,0,93,0,0
dai-ryumyaku ring of casting,大龍脈指輪【術士】,21476,THM ACN BLM SMN RDM,12,1,1,0,370,0,0,149,133,0,93,0,0,0,0,133
